GeneNames,BSP,Hotspot,Giotto_kmeans,Giotto_rank,Moran's I,SpatialDE,SPARK
ABCC11,0.010101559691715,5.4107962417241425e-71,2.2451487311344698e-114,7.56912319431671e-19,0.0009756097560975,0.5891642877653899,1.82365945634694e-15
ACTA2,0.0482414329497824,4.4442852908310095e-95,0.0295900816233571,2.0553236604325897e-28,0.0009756097560975,0.5891642877653899,1.82365945634694e-15
ACTG2,0.213688660965762,0.7922779264637164,1.89328989869612e-11,0.570450483709256,0.518048780487805,0.5909920416601754,1.0
ADAM9,0.177719575670195,0.0825377640381464,2.58025723196657e-05,0.415079719017819,0.518048780487805,0.5774081189800327,1.0
ADGRE5,0.772242598085516,3.175968266081594e-173,6.41410810274426e-36,9.621162154116379e-36,0.0009756097560975,0.6045414031366843,1.82365945634694e-15
AIF1,0.358370537086247,6.913528885188346e-68,1.885469803636e-17,2.28949904727228e-17,0.0009756097560975,0.6562356236249008,1.82365945634694e-15
AKR1C1,0.959874815980172,6.106909139515191e-07,0.0014568965994207,0.0016881500279002,0.0058536585365853,0.6167088100207209,0.0001047480359017
ANGPT2,0.858025386754088,3.9315214634621344e-08,9.25013094546348e-07,1.07603564059473e-06,0.0009756097560975,0.5840142812660093,4.83399066293291e-06
ANKRD28,0.781301471161586,0.1643950047889381,0.0059905606098641,0.0067449275014766,0.327804878048781,0.6562356236249008,1.0
ANKRD29,0.933887419350499,6.3781358266598705e-15,1.04173534518522e-05,1.24618807648325e-05,0.0009756097560975,0.5503892664217583,0.0002850139952286
ANKRD30A,0.0001866494044108,0.0,8.12588318523054e-63,8.40073463387263e-46,0.0009756097560975,0.4024188347654964,1.73646963301729e-15
APOBEC3B,0.962351055993691,0.0153398011534451,0.860766296797636,0.868886733559878,0.51609756097561,0.587559581421905,1.0
APOC1,0.268258870626838,1.723251948577218e-34,4.70245945283843e-05,5.57636784672875e-05,0.0009756097560975,0.5595270049540814,1.82365945634694e-15
AQP1,0.06526397467382,5.991772453513559e-227,3.24007061823346e-45,4.7486875499702e-44,0.0009756097560975,0.5909920416601754,1.73646963301729e-15
AR,0.0850298588699148,4.61508983059484e-39,2.6453461253023e-80,7.97911931140277e-07,0.0009756097560975,0.547303977589902,1.82365945634694e-15
AVPR1A,0.591131770237394,2.4618798718121673e-07,3.26380046225019e-07,3.86040914889808e-07,0.0009756097560975,0.4870915158509766,1.24164048091706e-14
BACE2,0.71160542115707,4.531135317837114e-06,0.226498326459666,0.244722329738029,0.0019512195121951,0.4514066035141312,0.0123701919692749
BASP1,0.336929796281005,1.0521191441927471e-20,6.46487338780789e-06,2.73222764033065e-05,0.0009756097560975,0.4870915158509766,2.11605157608688e-09
BTNL9,0.474616095704784,2.1080051395154256e-80,9.95038647865014e-22,1.2184146708551201e-21,0.0009756097560975,0.5891642877653899,3.24206125572789e-15
C1QA,0.792850230718378,1.034667022119809e-12,0.0904907079678626,0.101441812753782,0.0819512195121951,0.6562356236249008,0.0003676090885246
C1QC,0.559295173574586,7.034447614006712e-38,0.418094822335955,0.429039712973022,0.0009756097560975,0.4870915158509766,8.27688608702413e-13
C2orf42,0.920768954136237,0.4181117238302197,0.0129820005215371,0.014616098489283,0.894634146341464,0.2602948315713561,1.0
C6orf132,0.707632382900191,0.0044358609872825,1.90057434913353e-06,2.29574327321079e-06,0.135609756097561,0.4870915158509766,0.613245982049853
CAV1,0.0434361102266833,0.0,1.87372236282846e-61,3.9035882558926305e-61,0.0009756097560975,0.0127115686856273,1.73646963301729e-15
CAVIN2,0.789194427933113,9.463992073200864e-74,5.06512729320197e-49,8.357460033783239e-49,0.0009756097560975,0.2602948315713561,1.73646963301729e-15
CCDC6,0.0737516659682526,0.0099416107783925,2.24095509812944e-12,0.29529899467031,0.0019512195121951,0.0957686364608049,0.0115934211484432
CCDC80,0.0896595828617056,0.0,1.32295236002836e-66,2.72895102898711e-66,0.0009756097560975,0.3042026856383527,1.73646963301729e-15
CCL5,0.283601530044431,0.0,4.64029990551782e-19,5.04872052576729e-19,0.0009756097560975,0.1426561866891399,1.82365945634694e-15
CCL8,0.905661508840488,0.0471519689254404,0.917978738323743,0.926557978868824,0.837073170731707,0.4514203696683009,0.0313982258610293
CCND1,0.0005814784594276,4.995624084499702e-65,9.43241915960204e-07,2.44651161104786e-06,0.0009756097560975,0.385057906487948,1.82365945634694e-15
CCPG1,0.563152378571848,2.9532339207508363e-28,0.0156945663058155,6.74982435587639e-08,0.0009756097560975,0.4305250280909149,1.07463214988789e-10
CD14,0.30297035057253,2.214079048350962e-53,6.48119253024778e-05,7.66471464446693e-05,0.0009756097560975,0.4075455218152525,1.82365945634694e-15
CD163,0.37701531859673,2.4132815743676746e-21,8.98646845150464e-16,1.0754298310817001e-15,0.0009756097560975,0.3164300265186848,1.82365945634694e-15
CD247,0.815953231347086,5.100998063134913e-127,1.93204465200317e-08,2.24294838910713e-08,0.0009756097560975,0.0021261508124269,2.35786273143847e-13
CD3D,0.787489094652297,7.279891658986181e-77,5.16762504652598e-09,5.96737654182167e-09,0.0009756097560975,0.1655450792973331,3.24206125572789e-15
CD3E,0.291452214333986,0.0,2.02196189408742e-32,2.85863578129601e-32,0.0009756097560975,3.161466311367308e-06,1.82365945634694e-15
CD3G,0.746553541941123,4.2336368428969805e-145,2.0254569539169e-15,2.4112582784725002e-15,0.0009756097560975,0.6562356236249008,1.00637673299767e-11
CD4,0.29960229454989,3.518138799810566e-88,2.37610206044005e-12,2.78343384222977e-12,0.0009756097560975,0.0,1.82365945634694e-15
CD68,0.148192530069154,1.6364650289450533e-58,3.75587419619598e-24,4.89137104620872e-24,0.0009756097560975,0.0,1.73646963301729e-15
CD69,0.583228015299725,1.1252785337277124e-20,2.71082278012692e-09,3.2191020514007204e-09,0.0009756097560975,0.0,3.24206125572789e-15
CD83,0.664473134134938,0.0001021425413913,0.62381742795985,0.63303640472773,0.128780487804878,0.0,0.110214833500567
CD86,0.813801727725973,1.0455833500848481e-07,1.57273445580274e-06,1.90300869152131e-06,0.0009756097560975,0.0,7.08004784681241e-08
CD8A,0.0670133176417106,8.79760756518192e-17,1.3060396208841402e-15,1.55882148299075e-15,0.0009756097560975,0.0,3.7601225904060604e-14
CD8B,0.845764657280067,9.990402273762904e-61,0.0011046803488334,0.0012828545986452,0.0019512195121951,0.6562356236249008,2.3134679747020103e-09
CD9,0.0111735963490355,1.8523825781935144e-76,1.1951235804634801e-60,1.03307922771813e-06,0.0009756097560975,0.0,1.82365945634694e-15
CD93,0.0727709973163607,0.0,1.75493141826967e-98,5.237520132639331e-97,0.0009756097560975,0.0,1.73646963301729e-15
CDC42EP1,0.935016631689145,1.0989325007509069e-08,0.437880806397636,0.451564581597563,0.0409756097560976,0.0,0.0055633004493347
CDH1,0.0104061328287973,3.242251533860497e-129,5.12250409205798e-86,7.076331290797941e-24,0.0009756097560975,0.0,1.73646963301729e-15
CEACAM6,0.648448390594508,0.6122702322248622,0.780938565288663,0.792202102288019,0.915121951219512,0.0,1.0
CENPF,0.0687548071588473,9.154405669101772e-09,2.12265564663852e-09,0.0604557294151053,0.0009756097560975,0.0,2.1595981734074401e-10
CLDN4,0.483197546765809,0.0116773507712157,3.89549904912212e-08,0.0040219232752163,0.0058536585365853,0.6562356236249008,0.00071914203851
CLEC14A,0.0866847405487676,0.0,1.67405628655057e-128,1.67405628655057e-128,0.0009756097560975,0.0,1.73646963301729e-15
CRISPLD2,0.560880654023424,1.388424026700406e-77,0.0102616004551006,0.0115809490850421,0.0009756097560975,0.0,1.82365945634694e-15
CTLA4,0.815759794764222,1.975727227032772e-06,0.0018684026383793,0.0021291099832695,0.0009756097560975,0.0,0.0039225942113827
CTTN,0.0071925779839205,1.0336167384083631e-68,1.18352498043383e-29,2.093697073883e-11,0.0009756097560975,0.0,1.82365945634694e-15
CXCL12,0.0528617883305814,0.0,1.9970483253597498e-48,7.25426485185391e-55,0.0009756097560975,0.0,1.73646963301729e-15
CXCL16,0.6965022688781,0.4746182098558573,0.945452617840842,0.95385496261133,0.248780487804878,0.0,1.0
CXCR4,0.0593302188098458,0.0,0.116784430017506,7.384138621539e-26,0.0009756097560975,0.0,1.82365945634694e-15
CYTIP,0.560634730030764,0.0,1.42270447584135e-29,2.22890367881812e-29,0.0009756097560975,0.0,1.82365945634694e-15
DAPK3,0.879165943279211,0.8297934740945555,0.142257552405619,0.157929025880407,0.0595121951219512,0.0,1.0
DMKN,0.756223033174167,6.23435483219147e-05,1.0924720582594e-10,1.24853949515361e-10,0.0009756097560975,0.0,0.110297792896089
DNTTIP1,0.819448471028052,0.6122702322248622,0.393253418723639,0.409541209286514,0.193170731707317,0.0,1.0
DPT,0.758670639505613,3.096524741625347e-108,1.75586702726512e-27,2.39154009507307e-27,0.0009756097560975,0.0,1.82365945634694e-15
DSC2,0.659674058299108,0.1600615529499561,0.0042913942486975,0.0048358248623382,0.95609756097561,0.0,0.565063492739172
DSP,0.0637352369240791,2.332480829917758e-81,7.54335113229916e-113,1.3594014298648002e-20,0.0009756097560975,0.0,1.82365945634694e-15
DST,0.0678730634446719,0.0006260761425069,5.10408183781022e-07,0.415079719017819,0.0663414634146342,0.0,0.0282438534977025
DUSP2,0.946274777183914,0.0415566710363343,0.555288504770295,0.566506454361614,0.31219512195122,0.6562356236249008,1.0
DUSP5,0.738861070194596,1.0728222046444816e-05,0.0101201655161647,0.0114306905470349,0.553170731707317,0.0,0.612660533265613
EDNRB,0.703795423787831,1.504949778495155e-52,7.633226450010449e-11,8.738035541459329e-11,0.0009756097560975,0.6562356236249008,3.24206125572789e-15
EGFL7,0.835708086394958,1.0961877216043517e-59,4.74043303453109e-12,5.46466585925112e-12,0.0019512195121951,0.6562356236249008,5.0615854298608905e-14
EGFR,0.71290781807785,2.845150727335781e-58,0.0240758267116812,0.0276790116617288,0.0009756097560975,0.0,8.01608552240413e-15
EIF4EBP1,0.638583299765526,0.1748471509842942,0.746617787203268,0.75749086177419,0.526829268292683,0.0,1.0
ELF3,0.0810503407990333,5.915215697990374e-49,1.67837687757963e-92,4.02832417399971e-17,0.0009756097560975,0.0,1.82365945634694e-15
ENAH,0.0720659617771091,0.0085420196580214,0.0144182363658498,0.463670709593411,0.164878048780488,0.0,0.417171915767114
EPCAM,3.92828922598509e-05,0.0,1.99365234424236e-103,4.26882109911283e-38,0.0009756097560975,0.0,1.73646963301729e-15
ERBB2,6.51640875781734e-06,0.0,0.0089387429858434,2.03919117412676e-21,0.0009756097560975,0.0,1.73646963301729e-15
ERN1,0.444530632105582,1.229951443702625e-55,0.765907565769913,0.777007675418752,0.0009756097560975,8.898058378870896e-09,4.24979692246294e-08
ESM1,0.549727156361295,4.7167588544298195e-29,8.65588714624354e-06,1.03707327129522e-05,0.0009756097560975,7.789372236942276e-14,3.24206125572789e-15
ESR1,0.964690183618259,0.8504559511561246,0.0115140126354181,0.0128924507678273,0.0517073170731707,1.6323334397908434e-09,1.0
FAM107B,0.481734465835398,2.947923730465034e-05,0.561679792702429,0.387652684625583,0.0039024390243902,0.6562356236249008,0.0060671798994104
FAM49A,0.95405312729651,2.5549811740506715e-19,0.226221448691218,0.244528386735594,0.0009756097560975,0.0,1.67236550683867e-08
FASN,0.0008853103460237,1.729885908905503e-274,1.3262005880324702e-74,3.25048581615342e-26,0.0009756097560975,2.567281114272397e-11,1.73646963301729e-15
FBLIM1,0.748763566262066,4.2844339435531105e-31,6.84409441828234e-06,8.22607502197397e-06,0.0009756097560975,9.205623276651658e-12,1.24164048091706e-14
FBLN1,0.341442265823553,3.294196825880049e-149,4.61128973187385e-23,5.8142348793192e-23,0.0009756097560975,1.4830437434695972e-14,1.73646963301729e-15
FCER1G,0.129058033501156,2.841319599254009e-72,1.12816142890219e-09,1.2995277218999902e-09,0.0009756097560975,3.5664699775567998e-12,1.82365945634694e-15
FCGR3A,0.548080559721646,6.406847439161592e-53,0.0021282623428479,0.0023862335359204,0.0009756097560975,0.6562356236249008,3.24206125572789e-15
FGL2,0.373090804491948,2.9728754921989326e-35,2.76458441160302e-13,3.21179659583292e-13,0.0009756097560975,5.924810687976473e-12,1.82365945634694e-15
FLNB,0.147192765635701,1.0454304352624058e-11,3.5159991584679596e-18,0.209265153699288,0.0009756097560975,0.0,0.0061952522359498
FOXA1,0.0001611363930069,0.0,2.78383291697569e-62,8.81081149754541e-28,0.0009756097560975,0.6562356236249008,1.73646963301729e-15
FSTL3,0.948323934635602,0.6626645764019014,0.132725948151865,0.149213643574457,0.102439024390244,4.369465162650617e-13,1.0
GATA3,0.0002692935008096,5.602626652607323e-260,1.10513080021204e-23,1.1838856609650099e-26,0.0009756097560975,0.0,1.73646963301729e-15
GJB2,0.599939263826552,4.136132707407176e-24,0.0171077545028872,0.0194674447791475,0.0019512195121951,0.0,5.01150819048243e-10
GLIPR1,0.49884103741125,4.1550977144778674e-223,5.01565004273265e-43,7.85058267558153e-43,0.0009756097560975,0.6562356236249008,1.73646963301729e-15
GPR183,0.402284130005859,9.238011140393773e-90,3.2120214731449397e-26,4.28269529752658e-26,0.0009756097560975,7.299211740081032e-14,1.82365945634694e-15
GZMA,0.613621996893268,3.6543290208935455e-159,3.0429956007736304e-09,3.6065133046206e-09,0.0009756097560975,1.229738628442438e-12,1.11005358212422e-14
HAVCR2,0.724407076578435,3.805403654778063e-38,8.99820698957834e-05,0.0001062719273769,0.0009756097560975,0.6562356236249008,1.84285587167691e-14
HDC,0.39412124931969,0.2171752787303845,1.23649128107623e-10,0.157929025880407,0.35609756097561,0.0,1.0
HMGA1,0.19671091501547,1.4958653150609344e-05,0.0004194464641982,0.167673119700442,0.0009756097560975,6.728624391667617e-16,0.0003989167460588
HOOK2,0.652693943131692,1.1927166046582216e-05,1.36746361157576e-06,1.64371888664157e-06,0.008780487804878,0.0,2.79253824206335e-05
HOXD8,0.495488233104459,7.251961454848933e-22,1.76921008775172e-08,3.17525712012431e-07,0.0009756097560975,0.0,3.68294592383307e-08
HOXD9,0.547765535280876,7.2128923034441944e-211,1.85036718404561e-58,3.84307030532549e-58,0.0009756097560975,0.0,1.73646963301729e-15
HPX,0.954347828538589,0.5860303402754775,0.0101053080756168,0.0114233917376538,0.847804878048781,0.6562356236249008,1.0
IGF1,0.434306318510371,3.4035109328859347e-132,1.2356274117100199e-12,1.4326114918377e-12,0.0009756097560975,0.0,1.82365945634694e-15
IGSF6,0.471948240610373,5.3055703548221735e-11,4.86331647330382e-12,5.59614498297974e-12,0.0009756097560975,0.0,3.24206125572789e-15
IL2RG,0.670171434476539,1.4639648873320472e-254,6.5476314755235204e-15,7.7564249786971e-15,0.0019512195121951,0.0,1.82365945634694e-15
IL3RA,0.865405917348089,1.398290090862632e-80,1.0033327126118e-28,1.5049990689177e-28,0.0009756097560975,0.0,3.24206125572789e-15
IL7R,0.105614392046354,1.455236065801561e-112,6.5841019813874795e-18,8.02063332278111e-18,0.0009756097560975,2.1401841844014948e-11,1.82365945634694e-15
ITGAM,0.892690131893474,1.8555253983442405e-13,8.94481646731066e-07,1.04202501114031e-06,0.0019512195121951,0.6562356236249008,3.2033456408990703e-10
ITGAX,0.671601042106252,3.904307924699082e-12,2.40350901129963e-05,2.84451983906104e-05,0.0009756097560975,0.0,5.50015692034237e-13
ITM2C,0.143539222521929,0.0,0.0001428566976396,0.0001694909971995,0.0009756097560975,0.007917419177465,1.73646963301729e-15
JUP,0.50441468099132,0.0864419611090728,1.38606683329394e-06,0.304645639249767,0.546341463414634,6.465100433140477e-06,0.110297792896089
